Rank	Title	WorldwideLifetimeGross	Domesti LifetimeGross	Domestic%	ForeignLifetimeGross	Foreign%	Year
34	Toy Story 3	1066969703	415004880	0.389	651964823	0.611	2010
35	Pirates of the Caribbean: Dead Man's Chest	1066179725	423315812	0.397	642863913	0.603	2006
36	Rogue One: A Star Wars Story	1056057273	532177324	0.504	523879949	0.496	2016
37	Aladdin	1050693953	355559216	0.338	695134737	0.662	2019
38	Pirates of the Caribbean: On Stranger Tides	1045713802	241071802	0.23	804642000	0.77	2011
39	Despicable Me 3	1034799409	264624300	0.256	770175109	0.744	2017
40	Jurassic Park	1032020521	402828120	0.39	629192401	0.61	1993
41	Finding Dory	1028570889	486295561	0.473	542275328	0.527	2016
42	Star Wars: Episode I - The Phantom Menace	1027082707	474544677	0.462	552538030	0.538	1999
43	Alice in Wonderland	1025467110	334191110	0.326	691276000	0.674	2010
44	Zootopia	1023784195	341268248	0.333	682515947	0.667	2016
45	The Hobbit: An Unexpected Journey	1017003568	303003568	0.298	714000000	0.702	2012
46	The Dark Knight	1004934033	535234033	0.533	469700000	0.467	2008
47	Harry Potter and the Sorcerer's Stone	978087613	318087620	0.325	659999993	0.675	2001
48	Harry Potter and the Deathly Hallows: Part 1	976920103	296347721	0.303	680572382	0.697	2010
49	Despicable Me 2	970766005	368065385	0.379	602700620	0.621	2013
50	The Lion King	968511805	422783777	0.436	545728028	0.564	1994
51	The Jungle Book	966550600	364001123	0.377	602549477	0.623	2016
52	Jumanji: Welcome to the Jungle	962102237	404540171	0.42	557562066	0.58	2017
